buyer_id,supplier_id,to_airport,from_airport,flight_type,journey_type,pax,costprice,markup,selling_price,booking_date,payment_method,refund_status,refund_amount,channel_of_booking,booking_status,travel_date,cashback,coupon_redeem,Coupon USed?
492,3,CCU,ATL,International,one way,4,19361,5981,25342,01-03-2024,PayPal,Yes,369.6489946,Web,confirmed,04-03-2024,5.374693961,0,No
299,3,MAA,HYD,Domestic,round trip,2,10645,3289,13934,01-03-2024,Credit Card,Yes,799.3029172,Web,confirmed,29-03-2024,11.62185918,0,No
1,7,HYD,ORD,International,round trip,2,27983,8644,36627,01-03-2024,Debit Card,Yes,722.155395,Web,confirmed,12-12-2024,0,32.03561483,Yes
151,3,PNQ,DEL,International,round trip,3,32302,9978,42280,01-03-2024,Debit Card,No,0,Web,confirmed,13-03-2024,12.79007811,0,No
302,3,BOM,MIA,International,round trip,1,12519,3867,16386,01-03-2024,Bank Transfer,Yes,271.1637157,Android,confirmed,02-10-2024,3.942718651,7.907294625,Yes
492,3,BOM,ORD,International,round trip,5,12503,3862,16365,01-03-2024,Credit Card,Yes,0,Android,confirmed,17-07-2024,2.345819956,0,No
284,5,SEA,BLR,International,round trip,1,25605,7909,33514,01-03-2024,PayPal,No,0,iOS,confirmed,08-03-2024,0,0,No
268,3,BOM,MAA,Domestic,round trip,3,8365,2585,10950,01-03-2024,Bank Transfer,No,0,Android,confirmed,05-03-2024,0.876543703,0,No
469,1,CCU,ORD,International,round trip,3,13711,4236,17947,01-03-2024,Bank Transfer,Yes,577.3974532,Web,confirmed,21-07-2024,8.395355189,0,No
61,3,SEA,BLR,International,round trip,2,29530,9122,38652,01-03-2024,Debit Card,Yes,444.5651713,Web,confirmed,13-03-2024,6.463974681,0,No
397,5,PNQ,ATL,International,one way,2,14015,4330,18345,01-03-2024,Bank Transfer,No,0,Android,confirmed,20-03-2024,0,0,No
347,7,LAS,MAA,International,round trip,2,13998,4325,18323,01-03-2024,Credit Card,Yes,637.6514561,Web,confirmed,17-07-2024,0,0,No
72,3,AMD,ORD,International,round trip,4,34637,10700,45337,01-03-2024,PayPal,Yes,554.0067134,Android,confirmed,10-04-2024,8.055253986,0,No
138,5,PNQ,MIA,International,round trip,3,20600,6363,26963,01-03-2024,Credit Card,Yes,706.6512267,Android,confirmed,21-12-2024,0,30.75431108,Yes
16,1,CCU,SEA,International,round trip,1,15018,4640,19658,01-03-2024,Debit Card,Yes,374.5910121,Android,confirmed,29-03-2024,5.446550863,0,No
203,1,BOM,AMD,International,round trip,2,12570,3883,16453,01-03-2024,PayPal,Yes,529.1763811,Web,confirmed,30-03-2024,7.694221117,0,No
